40 |input  38:1 39:1 76:1 77:1 158:8.25
40 |input  53:1 77:1 158:8.0
41 |input  56:1 57:1 90:1 91:1 158:10.25 |output 57:1 91:1
41 |input  53:1 95:1 158:10.0
41 |input  53:1 95:1 158:9.75
41 |input  53:1 95:1 158:9.5
41 |input  52:1 53:1 94:1 95:1 158:9.25
41 |input  39:1 77:1 158:9.0
41 |input  39:1 77:1 158:8.75
41 |input  39:1 77:1 158:8.5
41 |input  38:1 39:1 76:1 77:1 158:8.25
42 |input  57:1 91:1 158:10.5 |output 57:1 91:1
42 |input  56:1 57:1 90:1 91:1 158:10.25
42 |input  53:1 95:1 158:10.0
42 |input  53:1 95:1 158:9.75
42 |input  53:1 95:1 158:9.5
42 |input  52:1 53:1 94:1 95:1 158:9.25
42 |input  39:1 77:1 158:9.0
42 |input  39:1 77:1 158:8.75
42 |input  39:1 77:1 158:8.5
43 |input  57:1 91:1 158:10.75 |output 57:1 91:1
43 |input  57:1 91:1 158:10.5
43 |input  56:1 57:1 90:1 91:1 158:10.25
43 |input  53:1 95:1 158:10.0
43 |input  53:1 95:1 158:9.75
43 |input  53:1 95:1 158:9.5
43 |input  52:1 53:1 94:1 95:1 158:9.25
43 |input  39:1 77:1 158:9.0
43 |input  39:1 77:1 158:8.75
44 |input  57:1 91:1 158:11.0 |output 52:1 53:1 86:1 87:1
44 |input  57:1 91:1 158:10.75
44 |input  57:1 91:1 158:10.5
44 |input  56:1 57:1 90:1 91:1 158:10.25
44 |input  53:1 95:1 158:10.0
44 |input  53:1 95:1 158:9.75
44 |input  53:1 95:1 158:9.5
44 |input  52:1 53:1 94:1 95:1 158:9.25
44 |input  39:1 77:1 158:9.0
45 |input  52:1 53:1 86:1 87:1 158:11.25 |output 53:1 87:1
45 |input  57:1 91:1 158:11.0
45 |input  57:1 91:1 158:10.75
45 |input  57:1 91:1 158:10.5
45 |input  56:1 57:1 90:1 91:1 158:10.25
45 |input  53:1 95:1 158:10.0
45 |input  53:1 95:1 158:9.75
45 |input  53:1 95:1 158:9.5
45 |input  52:1 53:1 94:1 95:1 158:9.25
46 |input  53:1 87:1 158:11.5 |output 53:1 87:1
46 |input  52:1 53:1 86:1 87:1 158:11.25
46 |input  57:1 91:1 158:11.0
46 |input  57:1 91:1 158:10.75
46 |input  57:1 91:1 158:10.5
46 |input  56:1 57:1 90:1 91:1 158:10.25
46 |input  53:1 95:1 158:10.0
46 |input  53:1 95:1 158:9.75
46 |input  53:1 95:1 158:9.5
47 |input  53:1 87:1 158:11.75 |output 53:1 87:1
47 |input  53:1 87:1 158:11.5
47 |input  52:1 53:1 86:1 87:1 158:11.25
47 |input  57:1 91:1 158:11.0
47 |input  57:1 91:1 158:10.75
47 |input  57:1 91:1 158:10.5
47 |input  56:1 57:1 90:1 91:1 158:10.25
47 |input  53:1 95:1 158:10.0
47 |input  53:1 95:1 158:9.75
48 |input  53:1 87:1 158:12.0 |output 48:1 49:1 80:1 81:1
48 |input  53:1 87:1 158:11.75
48 |input  53:1 87:1 158:11.5
48 |input  52:1 53:1 86:1 87:1 158:11.25
48 |input  57:1 91:1 158:11.0
48 |input  57:1 91:1 158:10.75
48 |input  57:1 91:1 158:10.5
48 |input  56:1 57:1 90:1 91:1 158:10.25
48 |input  53:1 95:1 158:10.0
49 |input  48:1 49:1 80:1 81:1 158:12.25 |output 49:1 81:1
49 |input  53:1 87:1 158:12.0
49 |input  53:1 87:1 158:11.75
49 |input  53:1 87:1 158:11.5
49 |input  52:1 53:1 86:1 87:1 158:11.25
49 |input  57:1 91:1 158:11.0
49 |input  57:1 91:1 158:10.75
49 |input  57:1 91:1 158:10.5
49 |input  56:1 57:1 90:1 91:1 158:10.25
50 |input  49:1 81:1 158:12.5 |output 49:1 81:1
50 |input  48:1 49:1 80:1 81:1 158:12.25
50 |input  53:1 87:1 158:12.0
50 |input  53:1 87:1 158:11.75
50 |input  53:1 87:1 158:11.5
50 |input  52:1 53:1 86:1 87:1 158:11.25
50 |input  57:1 91:1 158:11.0
50 |input  57:1 91:1 158:10.75
50 |input  57:1 91:1 158:10.5
51 |input  49:1 81:1 158:12.75 |output 49:1 81:1
51 |input  49:1 81:1 158:12.5
51 |input  48:1 49:1 80:1 81:1 158:12.25
51 |input  53:1 87:1 158:12.0
51 |input  53:1 87:1 158:11.75
51 |input  53:1 87:1 158:11.5
51 |input  52:1 53:1 86:1 87:1 158:11.25
51 |input  57:1 91:1 158:11.0
51 |input  57:1 91:1 158:10.75
52 |input  49:1 81:1 158:13.0 |output 62:1 63:1 81:1
52 |input  49:1 81:1 158:12.75
52 |input  49:1 81:1 158:12.5
52 |input  48:1 49:1 80:1 81:1 158:12.25
52 |input  53:1 87:1 158:12.0
52 |input  53:1 87:1 158:11.75
52 |input  53:1 87:1 158:11.5
52 |input  52:1 53:1 86:1 87:1 158:11.25
52 |input  57:1 91:1 158:11.0
53 |input  62:1 63:1 81:1 158:13.25 |output 63:1 81:1
53 |input  49:1 81:1 158:13.0
53 |input  49:1 81:1 158:12.75
53 |input  49:1 81:1 158:12.5
53 |input  48:1 49:1 80:1 81:1 158:12.25
53 |input  53:1 87:1 158:12.0
53 |input  53:1 87:1 158:11.75
53 |input  53:1 87:1 158:11.5
53 |input  52:1 53:1 86:1 87:1 158:11.25
54 |input  63:1 81:1 158:13.5 |output 63:1 81:1
54 |input  62:1 63:1 81:1 158:13.25
54 |input  49:1 81:1 158:13.0
54 |input  49:1 81:1 158:12.75
54 |input  49:1 81:1 158:12.5
54 |input  48:1 49:1 80:1 81:1 158:12.25
54 |input  53:1 87:1 158:12.0
54 |input  53:1 87:1 158:11.75
54 |input  53:1 87:1 158:11.5
55 |input  63:1 81:1 158:13.75 |output 63:1 81:1
55 |input  63:1 81:1 158:13.5
55 |input  62:1 63:1 81:1 158:13.25
55 |input  49:1 81:1 158:13.0
55 |input  49:1 81:1 158:12.75
55 |input  49:1 81:1 158:12.5
55 |input  48:1 49:1 80:1 81:1 158:12.25
55 |input  53:1 87:1 158:12.0
55 |input  53:1 87:1 158:11.75
56 |input  63:1 81:1 158:14.0 |output 56:1 57:1 81:1
56 |input  63:1 81:1 158:13.75
56 |input  63:1 81:1 158:13.5
56 |input  62:1 63:1 81:1 158:13.25
56 |input  49:1 81:1 158:13.0
